target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1EZQ-RPR,MSE,gradcam,90,0.7731481481481481,18,9
1EZQ-RPR,MSE,gradcam,95,0.75,2,1
1EZQ-RPR,MSE,gradinput,50,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,55,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,60,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,65,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,70,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,75,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,80,0.8447802197802197,26,13
1EZQ-RPR,MSE,gradinput,85,0.8784722222222222,24,12
1EZQ-RPR,MSE,gradinput,90,0.9212962962962964,18,9
1EZQ-RPR,MSE,gradinput,95,0.75,2,1
1EZQ-RPR,MSE,ig,50,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,55,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,60,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,65,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,70,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,75,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,80,0.7916666666666667,26,13
1EZQ-RPR,MSE,ig,85,0.8159722222222222,24,12
1EZQ-RPR,MSE,ig,90,0.824074074074074,18,9
1EZQ-RPR,MSE,ig,95,0.75,2,1
1EZQ-RPR,MSE,shap,50,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,55,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,60,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,65,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,70,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,75,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,80,0.6438644688644689,26,13
1EZQ-RPR,MSE,shap,85,0.6409722222222222,24,12
1EZQ-RPR,MSE,shap,90,0.5601851851851852,18,9
1EZQ-RPR,MSE,shap,95,1.0,2,1
1F0R-815,MSE,cam,50,0.503935860058309,441,229
1F0R-815,MSE,cam,55,0.5045318910854159,383,200
1F0R-815,MSE,cam,60,0.5052438498057833,331,174
1F0R-815,MSE,cam,65,0.5054307116104868,267,142
1F0R-815,MSE,cam,70,0.4997727272727273,220,118
1F0R-815,MSE,cam,75,0.49447368421052634,190,102
1F0R-815,MSE,cam,80,0.48577235772357724,123,68
1F0R-815,MSE,cam,85,0.47307692307692306,65,37
1F0R-815,MSE,cam,90,0.4318181818181818,22,15
1F0R-815,MSE,cam,95,0.4,5,4
1F0R-815,MSE,diff,50,0.648410051576993,441,229
1F0R-815,MSE,diff,55,0.644960255916714,383,200
