target,loss,explainer,normalization,mcs,global_dir_test,n_pairs
1CKP-PVB,MSE,gradinput,signed_rank,55,0.5164319248826291,213
1CKP-PVB,MSE,gradinput,signed_rank,60,0.5326633165829145,199
1CKP-PVB,MSE,gradinput,signed_rank,65,0.5519125683060109,183
1CKP-PVB,MSE,gradinput,signed_rank,70,0.6,135
1CKP-PVB,MSE,gradinput,signed_rank,75,0.6585365853658537,82
1CKP-PVB,MSE,gradinput,signed_rank,80,0.6323529411764706,68
1CKP-PVB,MSE,gradinput,signed_rank,85,0.6304347826086957,46
1CKP-PVB,MSE,gradinput,signed_rank,90,0.5555555555555556,18
1CKP-PVB,MSE,gradinput,signed_rank,95,0.5,2
1CKP-PVB,MSE+AC,gradinput,raw,50,0.7242990654205608,214
1CKP-PVB,MSE+AC,gradinput,raw,55,0.7276995305164319,213
1CKP-PVB,MSE+AC,gradinput,raw,60,0.7185929648241206,199
1CKP-PVB,MSE+AC,gradinput,raw,65,0.7049180327868853,183
1CKP-PVB,MSE+AC,gradinput,raw,70,0.7037037037037037,135
1CKP-PVB,MSE+AC,gradinput,raw,75,0.7926829268292683,82
1CKP-PVB,MSE+AC,gradinput,raw,80,0.8088235294117647,68
1CKP-PVB,MSE+AC,gradinput,raw,85,0.8695652173913043,46
1CKP-PVB,MSE+AC,gradinput,raw,90,0.9444444444444444,18
1CKP-PVB,MSE+AC,gradinput,raw,95,1.0,2
1CKP-PVB,MSE+AC,gradinput,l1,50,0.677570093457944,214
1CKP-PVB,MSE+AC,gradinput,l1,55,0.6807511737089202,213
1CKP-PVB,MSE+AC,gradinput,l1,60,0.6834170854271356,199
1CKP-PVB,MSE+AC,gradinput,l1,65,0.6666666666666666,183
1CKP-PVB,MSE+AC,gradinput,l1,70,0.6666666666666666,135
1CKP-PVB,MSE+AC,gradinput,l1,75,0.7804878048780488,82
1CKP-PVB,MSE+AC,gradinput,l1,80,0.8235294117647058,68
1CKP-PVB,MSE+AC,gradinput,l1,85,0.8695652173913043,46
1CKP-PVB,MSE+AC,gradinput,l1,90,0.9444444444444444,18
1CKP-PVB,MSE+AC,gradinput,l1,95,1.0,2
1CKP-PVB,MSE+AC,gradinput,signed_rank,50,0.6728971962616822,214
1CKP-PVB,MSE+AC,gradinput,signed_rank,55,0.676056338028169,213
1CKP-PVB,MSE+AC,gradinput,signed_rank,60,0.6683417085427136,199
1CKP-PVB,MSE+AC,gradinput,signed_rank,65,0.6502732240437158,183
1CKP-PVB,MSE+AC,gradinput,signed_rank,70,0.6518518518518519,135
1CKP-PVB,MSE+AC,gradinput,signed_rank,75,0.7682926829268293,82
1CKP-PVB,MSE+AC,gradinput,signed_rank,80,0.8235294117647058,68
1CKP-PVB,MSE+AC,gradinput,signed_rank,85,0.8913043478260869,46
1CKP-PVB,MSE+AC,gradinput,signed_rank,90,1.0,18
1CKP-PVB,MSE+AC,gradinput,signed_rank,95,1.0,2
1CKP-PVB,MSE+UCN,gradinput,raw,50,0.6308411214953271,214
1CKP-PVB,MSE+UCN,gradinput,raw,55,0.6338028169014085,213
1CKP-PVB,MSE+UCN,gradinput,raw,60,0.6231155778894473,199
1CKP-PVB,MSE+UCN,gradinput,raw,65,0.6065573770491803,183
1CKP-PVB,MSE+UCN,gradinput,raw,70,0.6148148148148148,135
1CKP-PVB,MSE+UCN,gradinput,raw,75,0.6463414634146342,82
1CKP-PVB,MSE+UCN,gradinput,raw,80,0.5735294117647058,68
1CKP-PVB,MSE+UCN,gradinput,raw,85,0.5869565217391305,46
1CKP-PVB,MSE+UCN,gradinput,raw,90,0.6666666666666666,18
1CKP-PVB,MSE+UCN,gradinput,raw,95,0.5,2
1CKP-PVB,MSE+UCN,gradinput,l1,50,0.5841121495327103,214
1CKP-PVB,MSE+UCN,gradinput,l1,55,0.5868544600938967,213
1CKP-PVB,MSE+UCN,gradinput,l1,60,0.5979899497487438,199
1CKP-PVB,MSE+UCN,gradinput,l1,65,0.5901639344262295,183
1CKP-PVB,MSE+UCN,gradinput,l1,70,0.6,135
1CKP-PVB,MSE+UCN,gradinput,l1,75,0.6341463414634146,82
1CKP-PVB,MSE+UCN,gradinput,l1,80,0.5588235294117647,68
1CKP-PVB,MSE+UCN,gradinput,l1,85,0.5652173913043478,46
1CKP-PVB,MSE+UCN,gradinput,l1,90,0.6111111111111112,18
1CKP-PVB,MSE+UCN,gradinput,l1,95,0.5,2
1CKP-PVB,MSE+UCN,gradinput,signed_rank,50,0.5,214
1CKP-PVB,MSE+UCN,gradinput,signed_rank,55,0.5023474178403756,213
1CKP-PVB,MSE+UCN,gradinput,signed_rank,60,0.5175879396984925,199
1CKP-PVB,MSE+UCN,gradinput,signed_rank,65,0.5191256830601093,183
1CKP-PVB,MSE+UCN,gradinput,signed_rank,70,0.5037037037037037,135
1CKP-PVB,MSE+UCN,gradinput,signed_rank,75,0.5121951219512195,82
1CKP-PVB,MSE+UCN,gradinput,signed_rank,80,0.5,68
1CKP-PVB,MSE+UCN,gradinput,signed_rank,85,0.5,46
1CKP-PVB,MSE+UCN,gradinput,signed_rank,90,0.6111111111111112,18
1CKP-PVB,MSE+UCN,gradinput,signed_rank,95,0.5,2
1CKP-PVB,MSE,ig,raw,50,0.822429906542056,214
1CKP-PVB,MSE,ig,raw,55,0.8262910798122066,213
1CKP-PVB,MSE,ig,raw,60,0.8241206030150754,199
1CKP-PVB,MSE,ig,raw,65,0.819672131147541,183
1CKP-PVB,MSE,ig,raw,70,0.8,135
1CKP-PVB,MSE,ig,raw,75,0.7439024390243902,82
1CKP-PVB,MSE,ig,raw,80,0.7352941176470589,68
1CKP-PVB,MSE,ig,raw,85,0.717391304347826,46
1CKP-PVB,MSE,ig,raw,90,0.5555555555555556,18
1CKP-PVB,MSE,ig,raw,95,1.0,2
1CKP-PVB,MSE,ig,l1,50,0.794392523364486,214
1CKP-PVB,MSE,ig,l1,55,0.7981220657276995,213
1CKP-PVB,MSE,ig,l1,60,0.7989949748743719,199
1CKP-PVB,MSE,ig,l1,65,0.8087431693989071,183
1CKP-PVB,MSE,ig,l1,70,0.7851851851851852,135
1CKP-PVB,MSE,ig,l1,75,0.7317073170731707,82
1CKP-PVB,MSE,ig,l1,80,0.7205882352941176,68
1CKP-PVB,MSE,ig,l1,85,0.6956521739130435,46
1CKP-PVB,MSE,ig,l1,90,0.5,18
1CKP-PVB,MSE,ig,l1,95,1.0,2
1CKP-PVB,MSE,ig,signed_rank,50,0.780373831775701,214
1CKP-PVB,MSE,ig,signed_rank,55,0.784037558685446,213
1CKP-PVB,MSE,ig,signed_rank,60,0.7738693467336684,199
1CKP-PVB,MSE,ig,signed_rank,65,0.7759562841530054,183
1CKP-PVB,MSE,ig,signed_rank,70,0.762962962962963,135
1CKP-PVB,MSE,ig,signed_rank,75,0.6951219512195121,82
1CKP-PVB,MSE,ig,signed_rank,80,0.7058823529411765,68
1CKP-PVB,MSE,ig,signed_rank,85,0.6739130434782609,46
1CKP-PVB,MSE,ig,signed_rank,90,0.5,18
1CKP-PVB,MSE,ig,signed_rank,95,1.0,2
1CKP-PVB,MSE+AC,ig,raw,50,0.8925233644859814,214
